epoch,d_loss,g_loss,seconds,gan_type
148,2.000000,-0.222357,36.89,conditional-resnet-hinge
149,2.000000,-0.219504,36.64,conditional-resnet-hinge
150,2.000000,-0.203579,36.91,conditional-resnet-hinge
151,2.000000,-0.199930,33.99,conditional-resnet-hinge
152,2.000000,-0.185758,35.20,conditional-resnet-hinge
153,2.000000,-0.165689,36.25,conditional-resnet-hinge
154,2.000000,-0.168173,36.67,conditional-resnet-hinge
155,2.000000,-0.174190,36.36,conditional-resnet-hinge
156,2.000000,-0.177177,33.59,conditional-resnet-hinge
157,2.000000,-0.185658,35.97,conditional-resnet-hinge
158,2.000000,-0.186747,36.01,conditional-resnet-hinge
159,2.000000,-0.176799,36.87,conditional-resnet-hinge
160,2.000000,-0.184224,36.81,conditional-resnet-hinge
161,2.000000,-0.196923,36.65,conditional-resnet-hinge
162,2.000000,-0.189862,36.81,conditional-resnet-hinge
163,2.000000,-0.187945,36.75,conditional-resnet-hinge
164,2.000000,-0.182419,37.06,conditional-resnet-hinge
165,2.000000,-0.168545,36.90,conditional-resnet-hinge
166,2.000000,-0.158858,36.69,conditional-resnet-hinge
167,2.000000,-0.121388,36.67,conditional-resnet-hinge
168,2.000000,-0.121197,36.80,conditional-resnet-hinge
169,2.000000,-0.127804,36.85,conditional-resnet-hinge
170,2.000000,-0.126474,36.86,conditional-resnet-hinge
171,2.000000,-0.128779,36.93,conditional-resnet-hinge
172,2.000000,-0.115416,36.89,conditional-resnet-hinge
173,2.000000,-0.108269,36.77,conditional-resnet-hinge
174,2.000000,-0.103857,36.85,conditional-resnet-hinge
175,2.000000,-0.099124,36.87,conditional-resnet-hinge
176,2.000000,-0.102459,36.72,conditional-resnet-hinge
177,2.000000,-0.124989,36.67,conditional-resnet-hinge
178,2.000000,-0.141771,36.55,conditional-resnet-hinge
179,2.000000,-0.163755,36.65,conditional-resnet-hinge
180,2.000000,-0.150172,36.76,conditional-resnet-hinge
181,2.000000,-0.149574,36.94,conditional-resnet-hinge
182,2.000000,-0.140881,36.77,conditional-resnet-hinge
183,2.000000,-0.142377,36.79,conditional-resnet-hinge
184,2.000000,-0.133329,36.80,conditional-resnet-hinge
185,2.000000,-0.141041,36.81,conditional-resnet-hinge
186,2.000000,-0.160937,36.81,conditional-resnet-hinge
187,2.000000,-0.163642,36.94,conditional-resnet-hinge
188,2.000000,-0.161426,36.63,conditional-resnet-hinge
189,2.000000,-0.162465,36.74,conditional-resnet-hinge
190,2.000000,-0.166779,36.72,conditional-resnet-hinge
191,2.000000,-0.146247,36.87,conditional-resnet-hinge
192,2.000000,-0.116513,36.74,conditional-resnet-hinge
193,2.000000,-0.120970,37.10,conditional-resnet-hinge
194,2.000000,-0.126357,37.02,conditional-resnet-hinge
195,2.000000,-0.128340,36.95,conditional-resnet-hinge
196,2.000000,-0.131284,36.87,conditional-resnet-hinge
197,2.000000,-0.143474,37.30,conditional-resnet-hinge
198,2.000000,-0.126621,37.48,conditional-resnet-hinge
199,2.000000,-0.120958,37.00,conditional-resnet-hinge
200,2.000000,-0.126140,36.77,conditional-resnet-hinge
